timestamp,distance
522515,182.70
523530,182.82
524544,182.68
525558,182.84
526571,182.77
527575,3.60
528579,5.54
529584,21.86
530589,21.76
531592,5.54
532597,22.22
533602,16.47
534605,4.91
535619,182.70
536670,796.30
537674,8.82
538679,10.39
539729,796.55
540733,8.11
541784,796.72
542789,35.72
543793,8.11
544844,796.36
545849,35.92
546852,3.93
547886,498.68
548890,9.35
549941,796.21
550945,16.46
551995,796.09
552999,3.89
554002,8.72
555007,8.79
556011,2.60
557014,4.90
558018,6.37
559022,7.39
560026,8.47
561030,9.71
562034,12.58
563037,12.58
564041,10.03
565045,8.82
566049,5.54
567053,3.57
568056,1.99
569060,4.57
570065,16.15
571068,16.15
572120,796.33
573170,796.26
574220,796.38
575225,5.20
576229,3.57
577242,182.56
578257,182.55
579271,182.51
580285,182.48
581299,182.55
582313,182.46
583327,182.48
584341,182.48
585355,182.10
586369,182.49
587383,182.90
588397,182.44
589411,182.44
590425,182.48
591439,182.63
592453,183.04
593468,182.48
594482,182.44
595496,182.53
596510,182.44
597524,182.48
598539,182.99
599553,182.55
600567,182.49
601581,182.49
602595,182.49
603609,182.49
604623,182.48
605637,182.55
606651,182.55
607665,182.48
608679,182.65
609693,182.48
610706,183.11
611720,182.56
612724,13.79
613729,36.52
614780,795.92
615783,9.81
616797,182.82
617804,63.12
618807,5.76
619811,5.12
620815,6.41
621819,9.13
622822,6.53
623828,57.66
624831,5.86
625835,5.51
626838,6.41
627843,6.82
628846,5.76
629850,5.18
630853,5.22
631857,4.25
632860,8.47
633867,58.34
634881,182.48
635895,182.44
636909,182.46
637923,182.48
638938,182.84
639952,182.84
640966,182.95
641980,182.94
642994,182.85
644008,182.92
645022,182.90
646036,182.92
647051,182.90
648065,183.01
649079,182.89
650093,182.90
651107,182.95
652122,183.33
653136,182.94
654151,182.89
655164,182.94
656179,182.89
657193,183.02
658207,182.92
659222,183.04
660236,182.90
661250,182.95
662264,182.92
663279,182.92
664293,182.94
665307,182.90
666322,182.92
667337,183.04
668351,182.95
669365,183.31
670379,182.94
671394,182.90
672397,3.60
673401,19.02
674406,18.68
675410,19.86
676414,16.15
677418,19.98
678423,20.50
679427,21.25
680441,173.99
681445,22.49
682450,21.23
683500,796.01
684506,35.70
685517,136.19
686529,135.35
687540,136.20
688545,30.55
689551,31.60
690563,136.53
691568,29.10
692572,7.80
693577,28.75
694581,3.25
695594,181.20
696608,181.22
697612,3.60
698616,7.46
699627,137.97
700630,2.96
701635,32.88
702638,2.96
703641,3.48
704644,2.31
705648,5.18
706652,29.50
707666,181.29
708677,137.09
709691,180.93
710695,3.57
711700,30.53
712713,181.24
713718,30.84
714723,28.99
715730,42.35
716735,36.14
717746,137.19
718751,28.73
719765,181.17
720770,28.73
721775,29.50
722786,136.53
723790,19.23
724794,2.60
725799,29.24
726803,16.46
727807,29.51
728812,29.53
729816,3.81
730827,137.31
731839,137.33
732853,181.17
733867,181.29
734878,137.34
735890,137.29
736902,137.77
737907,30.00
738919,136.87
739924,31.57
740938,182.07
741952,182.51
742958,34.94
743963,36.18
744968,32.61
745973,30.28
746978,28.70
747983,37.88
748988,40.63
750000,138.67
751004,5.83
752009,29.73
753024,181.27
754028,15.81
755041,182.41
756056,191.03
757067,137.70
758081,181.15
759086,35.70
760092,38.56
761098,38.64
762103,43.06
763115,137.75
764126,137.34
765138,137.33
766149,136.51
767155,40.17
768160,40.41
769166,40.48
770172,41.28
771178,41.63
772183,41.90
773189,41.77
774201,136.95
775215,181.17
776227,137.41
777239,136.97
778250,137.26
779262,136.99
780273,137.39
781284,137.29
782296,137.41
783307,136.99
784313,42.74
785324,137.38
786336,136.95
787347,136.58
788359,137.84
789370,137.82
790382,137.39
791396,181.20
792401,42.23
793407,44.54
794413,38.20
795424,137.84
796438,181.19
797449,137.26
798461,137.80
799467,37.99
800479,137.00
801490,137.45
802495,36.40
803501,42.23
804512,136.14
805518,33.63
806524,37.30
807530,37.52
808535,37.77
809546,136.17
810558,136.99
811569,136.58
812581,136.58
813593,136.44
814606,181.08
815618,137.02
816630,136.44
817641,137.00
818646,37.28
819651,40.05
820657,39.59
821663,36.96
822668,38.90
823674,43.35
824680,39.83
825686,38.47
826691,37.08
827702,136.56
828708,37.20
829719,137.84
830730,136.12
831735,36.84
832747,136.15
833758,136.99
834773,181.15
835779,40.49
836790,136.56
837802,136.54
838814,135.73
839825,136.15
840839,181.03
841850,136.14
842862,136.56
843876,181.17
844882,36.38
845887,38.11
846901,181.05
847912,136.49
848923,136.12
849935,136.54
850945,136.56
851957,136.54
852968,136.09
853980,136.54
854991,136.56
856002,136.58
857013,136.20
858025,136.58
859036,136.92
860041,37.98
861052,136.14
862063,136.53
863074,136.56
864085,136.46
865097,136.58
866108,136.19
867119,136.88
868131,136.60
869142,137.80
870154,137.41
871165,136.58
872179,181.22
873190,137.00
874202,136.20
875213,137.92
876225,136.61
877239,181.30
878253,181.12
879265,136.24
880276,136.24
881287,136.65
882299,137.02
883311,136.61
884314,7.70
885318,4.90
886332,181.22
887344,136.26
888358,181.19
889369,137.56
890380,137.00
891392,137.10
892403,136.68
893415,136.68
894426,136.63
895438,136.48
896449,137.07
897463,181.20
898474,136.65
899486,137.94
900497,136.65
901508,136.68
902520,136.70
903531,136.20
904542,136.63
905554,137.48
906565,135.76
907579,181.10
908590,135.76
909601,137.04
910613,136.15
911627,181.05
912641,181.07
913652,136.19
914664,136.17
915677,181.25
916689,136.19
917700,136.99
918714,181.02
919725,136.19
920739,181.46
921750,136.99
922764,180.76
923777,136.99
924788,136.20
925800,136.17
926812,136.15
927823,136.17
928834,135.74
929845,137.02
930861,181.17
931876,181.10
932890,181.03
933894,16.76
934908,181.59
935913,29.78
936918,25.09
937933,191.81
938947,183.91
939952,29.50
940958,26.50
941963,25.23
942968,36.36
943974,27.08
944979,25.92
945984,29.09
946989,23.61
947994,24.19
948999,29.61
950004,29.87
951010,35.89
952015,34.42
953020,26.69
954024,12.87
955027,6.19
956039,136.92
957044,29.75
958050,29.75
959055,30.91
960066,135.68
961070,28.00
962075,28.44
963080,29.53
964086,30.79
965091,29.33
966096,29.75
967107,136.10
968112,33.37
969117,29.51
970123,30.12
971128,29.78
972134,30.53
973139,30.31
974143,15.81
975147,5.76
976150,8.02
977154,3.89
978158,5.83
979161,5.44
980165,2.60
981168,4.25
982183,181.88
983187,3.28
984191,3.93
985195,9.81
986199,7.70
987210,136.37
988222,136.00
989234,136.73
990245,136.39
991257,136.73
992269,136.29
993280,136.39
994292,136.39
995304,136.02
996316,136.43
997327,137.26
998339,136.03
999350,136.37
1000362,135.98
1001373,136.83
1002385,136.71
1003396,136.41
1004407,136.02
1005418,136.80
1006431,136.36
1007443,135.98
1008454,136.80
1009465,136.00
1010477,136.02
1011489,136.00
1012501,135.98
1013512,136.85
1014523,136.37
1015535,136.02
1016548,136.36
1017559,136.31
1018570,136.39
1019581,136.02
1020594,135.91
1021605,136.03
1022616,136.75
1023627,136.03
1024639,137.21
1025650,135.90
1026661,136.02
1027672,136.82
1028684,136.00
1029695,136.00
1030706,135.59
1031717,136.39
1032729,136.41
1033741,136.82
1034753,136.41
1035765,136.41
1036777,136.32
1037788,136.39
1038799,136.39
1039811,136.36
1040822,136.83
1041834,135.90
1042846,135.91
1043858,135.93
1044872,180.56
1045885,135.91
1046896,136.73
1047907,136.75
1048919,136.37
1049930,135.95
1050941,135.49
1051952,135.91
1052957,29.33
1053968,137.16
1054979,136.31
1055991,137.07
1057003,136.34
1058014,136.34
1059026,136.36
1060037,135.93
1061049,136.71
1062060,135.93
1063072,136.70
1064083,136.00
1065094,136.80
1066106,136.36
1067117,136.82
1068128,135.56
1069139,136.80
1070150,136.37
1071161,136.37
1072173,136.26
1073184,136.00
1074195,136.03
1075207,136.02
1076218,136.02
1077233,181.07
1078245,136.02
1079256,136.48
1080268,136.03
1081280,136.87
1082291,136.03
1083302,136.03
1084313,136.03
1085324,136.82
1086335,136.37
1087347,136.02
1088358,136.43
1089370,136.36
1090381,135.56
1091393,137.72
1092405,135.97
1093416,136.02
1094427,136.02
1095438,137.26
1096450,135.98
1097461,136.43
1098472,136.02
1099484,136.00
1100496,136.80
1101508,137.12
1102520,137.22
1103531,135.97
1104542,136.36
1105554,137.24
1106566,136.80
1107578,136.78
1108589,136.80
1109601,136.36
1110612,135.93
1111623,136.80
1112635,136.78
1113647,136.00
1114658,135.98
1115669,136.00
1116680,136.43
1117691,136.41
1118703,136.02
1119714,136.02
1120725,136.37
1121737,136.80
1122749,135.98
1123760,135.97
1124773,136.83
1125784,136.02
1126796,136.00
1127808,136.43
1128819,137.24
1129831,136.43
1130843,135.98
1131855,135.95
1132867,137.24
1133879,135.88
1134890,136.65
1135901,135.97
1136913,135.57
1137925,136.46
1138936,135.59
1139948,136.44
1140959,136.43
1141971,136.00
1142983,136.43
1143995,136.43
1145006,135.98
1146021,181.05
1147032,135.97
1148044,136.44
1149058,180.74
1150072,180.66
1151085,136.02
1152096,136.83
1153108,135.90
1154122,180.73
1155134,135.90
1156145,136.02
1157157,135.56
1158169,136.39
1159181,136.36
1160192,136.37
1161204,135.95
1162218,180.64
1163230,136.82
1164242,135.57
1165257,180.71
1166268,136.87
1167280,136.37
1168290,135.98
1169303,135.54
1170314,135.57
1171326,136.03
1172338,136.46
1173349,136.02
1174360,136.48
1175372,136.73
1176383,136.05
1177395,136.87
1178407,136.02
1179418,136.02
1180424,33.37
1181436,136.00
1182442,35.90
1183448,36.01
1184462,181.05
1185474,136.44
1186488,180.64
1187495,37.52
1188508,135.98
1189520,136.26
1190532,136.39
1191544,136.37
1192557,136.37
1193568,136.37
1194580,136.83
1195592,135.59
1196603,136.37
1197615,136.80
1198629,180.71
1199641,136.03
1200653,136.48
1201665,136.02
1202676,136.00
1203687,136.02
1204698,135.98
1205710,135.97
1206722,136.78
1207733,136.41
1208744,136.00
1209756,136.43
1210768,136.43
1211780,136.07
1212791,136.37
1213802,135.91
1214814,137.70
1215825,136.44
1216836,136.48
1217848,136.00
1218859,136.00
1219871,136.00
1220882,136.44
1221893,136.05
1222905,136.83
1223916,136.44
1224928,135.98
1225939,136.48
1226950,136.07
1227962,136.03
1228973,136.88
1229985,137.33
1230997,136.87
1232009,136.44
1233020,136.05
1234033,136.41
1235044,136.44
1236055,136.07
1237066,136.85
1238077,136.32
1239088,136.00
1240100,136.00
1241111,136.75
1242122,136.87
1243133,136.43
1244145,136.41
1245150,42.43
1246156,37.25
1247160,19.01
1248172,135.86
1249177,38.44
1250183,46.31
1251188,43.42
1252200,136.76
1253206,49.13
1254211,32.86
1255226,180.54
1256240,180.61
1257251,134.16
1258265,180.49
1259279,182.10
1260293,182.14
1261307,182.15
1262314,48.98
1263329,182.05
1264343,182.12
1265349,44.17
1266354,37.18
1267368,182.05
1268375,42.24
1269381,38.11
1270387,35.70
1271393,37.15
1272398,35.46
1273413,182.09
1274427,182.10
1275433,37.52
1276439,36.14
1277444,36.82
1278450,42.42
1279464,182.02
1280471,61.68
1281476,42.55
1282490,182.12
1283496,47.74
1284503,49.32
1285510,49.30
1286523,182.24
1287538,181.73
1288543,41.90
1289549,39.92
1290563,182.10
1291577,182.24
1292590,182.14
1293595,35.70
1294601,36.13
1295606,44.63
1296611,37.08
1297617,42.19
1298623,42.52
1299628,36.40
1300633,36.40
1301639,35.58
1302644,35.67
1303649,38.20
1304655,37.64
1305660,41.19
1306674,182.09
1307689,182.09
1308700,143.16
1309714,182.15
1310728,182.09
1311733,36.84
1312747,182.09
1313761,182.10
1314775,182.10
1315789,182.12
1316794,25.67
1317809,182.07
1318814,24.68
1319826,143.63
1320840,181.73
1321855,182.09
1322861,40.95
1323873,142.19
1324886,142.71
1325899,182.10
1326913,181.73
1327927,182.12
1328938,143.57
1329944,44.03
1330959,182.12
1331973,182.10
1332979,42.65
1333985,49.50
1334999,182.12
1336013,182.10
1337027,181.78
1338041,182.07
1339056,182.15
1340070,182.12
1341084,182.12
1342098,182.14
1343113,182.12
1344126,182.15
1345140,182.07
1346154,182.12
1347168,182.07
1348174,48.99
1349189,182.21
1350203,182.10
1351216,182.07
1352222,36.55
1353236,182.22
1354250,182.17
1355264,182.17
1356278,182.24
1357292,182.22
1358306,182.12
1359320,182.17
1360335,182.07
1361340,43.44
1362354,182.15
1363369,182.14
1364383,182.12
1365397,182.14
1366403,37.89
1367417,182.17
1368431,182.07
1369442,143.48
1370456,182.09
1371462,41.56
1372477,182.15
1373491,182.12
1374504,182.14
1375518,182.05
1376532,182.24
1377546,182.24
1378560,182.24
1379573,182.10
1380587,181.70
1381601,182.05
1382615,182.17
1383629,182.14
1384635,42.45
1385649,182.09
1386655,44.64
1387669,182.12
1388683,182.17
1389688,39.27
1390702,182.15
1391707,35.92
1392713,37.99
1393727,182.12
1394741,182.12
1395755,182.14
1396769,182.14
1397782,182.10
1398794,143.50
1399809,182.26
1400823,182.26
1401837,182.15
1402851,182.17
1403865,182.12
1404877,142.73
1405883,45.07
1406897,182.15
1407903,42.26
1408917,181.73
1409931,182.15
1410937,40.95
1411951,182.17
1412964,182.10
1413979,182.12
1414993,182.12
1415998,39.37
1417012,181.80
1418017,35.36
1419031,181.82
1420045,182.26
1421050,36.02
1422055,34.68
1423060,35.46
1424066,35.46
